Año;Taxonómico;AL3;Zona;Peso vivo (kg);cód. CEIUAPA;Nombre_grupo CEIUAPA;CEIUAPA: Clasificación Estadística Internacional Uniforme de Animales y Plantas Acuáticas
1992;11004001XX;SKA;21;1.473.000;38;Tiburones, rayas y quimeras;
1992;110XXXXXXX;SRX;37;397.483;38;Tiburones, rayas y quimeras;
1992;110XXXXXXX;SRX;99;1.707.917;38;Tiburones, rayas y quimeras;
1992;1210501210;SAA;37;1.643.343;35;Arenques, sardinas y anchoas;
1992;12105012XX;SIX;27;520.000;35;Arenques, sardinas y anchoas;
1992;12105012XX;SIX;99;757;35;Arenques, sardinas y anchoas;
1992;1210506401;PIL;27;46.932.000;35;Arenques, sardinas y anchoas;
1992;1210506401;PIL;37;51.943.111;35;Arenques, sardinas y anchoas;
1992;1210506401;PIL;99;125.680.989;35;Arenques, sardinas y anchoas;
1992;1210506601;SPR;27;10.000;35;Arenques, sardinas y anchoas;
1992;1210506601;SPR;37;680.771;35;Arenques, sardinas y anchoas;
1992;1210506601;SPR;99;23.229;35;Arenques, sardinas y anchoas;
1992;1210600201;ANE;27;13.452.000;35;Arenques, sardinas y anchoas;
1992;1210600201;ANE;37;20.213.019;35;Arenques, sardinas y anchoas;
1992;1210600201;ANE;99;1.171.281;35;Arenques, sardinas y anchoas;
1992;121XXXXXXX020;CLU;27;15.768.000;35;Arenques, sardinas y anchoas;
1992;121XXXXXXX020;CLU;37;443.193;35;Arenques, sardinas y anchoas;
1992;121XXXXXXX020;CLU;99;32.207;35;Arenques, sardinas y anchoas;
1992;1430200201;ELE;27;37.000;22;Anguilas;
1992;1430200201;ELE;37;58.487;22;Anguilas;
1992;1430200201;ELE;99;413;22;Anguilas;
1992;1431300101;COE;27;3.124.000;33;Peces costeros diversos;
1992;1431300101;COE;37;645.663;33;Peces costeros diversos;
1992;1431300101;COE;99;266.437;33;Peces costeros diversos;
1992;1470100101;GAR;27;179.000;34;Peces demersales diversos;
1992;1470100101;GAR;37;349.371;34;Peces demersales diversos;
1992;1470100101;GAR;99;143.329;34;Peces demersales diversos;
1992;1470200201;SAU;27;44.000;34;Peces demersales diversos;
1992;1470200201;SAU;99;700;34;Peces demersales diversos;
1992;1480400202;COD;21;9.965.000;32;Bacalaos, merluzas y eglefinos;
1992;1480400202;COD;27;6.217.000;32;Bacalaos, merluzas y eglefinos;
1992;1480400501;LIN;27;3.187.000;32;Bacalaos, merluzas y eglefinos;
1992;1480400501;LIN;99;1.217;32;Bacalaos, merluzas y eglefinos;
1992;14804005XX;LNZ;37;104.883;32;Bacalaos, merluzas y eglefinos;
1992;14804006XX;FOX;37;1.277.381;32;Bacalaos, merluzas y eglefinos;
1992;14804006XX;FOX;99;580.519;32;Bacalaos, merluzas y eglefinos;
1992;1480401001;HAD;27;89.000;32;Bacalaos, merluzas y eglefinos;
1992;1480401001;HAD;99;300;32;Bacalaos, merluzas y eglefinos;
1992;1480401501;POK;27;6.000;32;Bacalaos, merluzas y eglefinos;
1992;1480401502;POL;27;238.750;32;Bacalaos, merluzas y eglefinos;
1992;1480401502;POL;37;6.912;32;Bacalaos, merluzas y eglefinos;
1992;1480401502;POL;99;1.093.738;32;Bacalaos, merluzas y eglefinos;
1992;1480403203;BIB;27;4.207.000;32;Bacalaos, merluzas y eglefinos;
1992;1480403203;BIB;37;274.960;32;Bacalaos, merluzas y eglefinos;
1992;1480403203;BIB;99;41.940;32;Bacalaos, merluzas y eglefinos;
1992;1480403301;WHB;27;31.965.250;32;Bacalaos, merluzas y eglefinos;
1992;1480403301;WHB;37;4.322.980;32;Bacalaos, merluzas y eglefinos;
1992;1480403301;WHB;99;91.570;32;Bacalaos, merluzas y eglefinos;
1992;1480403401;WHG;27;2.000;32;Bacalaos, merluzas y eglefinos;
1992;1480500401;HKE;27;23.757.000;32;Bacalaos, merluzas y eglefinos;
1992;1480500401;HKE;37;5.985.051;32;Bacalaos, merluzas y eglefinos;
1992;14805004XX;HKX;27;17.025.400;32;Bacalaos, merluzas y eglefinos;
1992;14805004XX;HKX;99;92.485.545;32;Bacalaos, merluzas y eglefinos;
1992;1480600103;RHG;21;3.250.001;32;Bacalaos, merluzas y eglefinos;
1992;1480600401;RNG;21;1.720.999;32;Bacalaos, merluzas y eglefinos;
1992;148XXXXXXX;GAD;27;3.343.600;32;Bacalaos, merluzas y eglefinos;
1992;148XXXXXXX;GAD;99;184.400;32;Bacalaos, merluzas y eglefinos;
1992;1580200105;KCP;99;264.260;33;Peces costeros diversos;
1992;16501XXXXX;MUL;27;56.000;34;Peces demersales diversos;
1992;16501XXXXX;MUL;37;278.569;34;Peces demersales diversos;
1992;16501XXXXX;MUL;99;109.731;34;Peces demersales diversos;
1992;169XXXXXXX002;DPX;27;2.588.000;33;Peces costeros diversos;
1992;169XXXXXXX002;DPX;37;2.358.966;33;Peces costeros diversos;
1992;169XXXXXXX002;DPX;99;2.072.834;33;Peces costeros diversos;
1992;1700204201;GPD;27;180.000;33;Peces costeros diversos;
1992;1700204202;GPW;99;53.361;33;Peces costeros diversos;
1992;17002042XX;GPX;37;18.539;33;Peces costeros diversos;
1992;17002042XX;GPX;99;177.500;33;Peces costeros diversos;
1992;1700205801;WRF;27;10.000;33;Peces costeros diversos;
1992;1700205801;WRF;37;33.016;33;Peces costeros diversos;
